Facies,N,Slope,Intercept,R2,RMSE,MAE
BS,15,-0.00016409392428659114,0.677227034092196,0.0007668651999397369,0.29474518354821305,0.226116212324539
CSiS,84,-0.0020064342456687064,0.712737456509005,0.04770899499632697,0.13322739524428112,0.09988946770296471
D,19,0.0014296774478424206,0.4330513793919546,0.13033561551432715,0.179237541176993,0.14719420829141996
FSiS,76,-0.003923020594265926,0.8778516953939624,0.17507742113340674,0.14020805734316275,0.09835466396660159
MS,35,-0.002094593262126529,0.9250823465789436,0.10721513030022511,0.2056273882975789,0.16990779341417855
PS,79,-0.0027566825127440797,0.8876881099427807,0.07022809104580063,0.2922971867165336,0.22162403989104854
SS,30,0.004123323218690874,0.15957628353731018,0.0270942213778661,0.2132532366788161,0.18618091471360765
SiSh,29,0.000930562462729168,0.6305091732257609,0.09825668689954381,0.12665214644372233,0.08933368745594762
WS,48,-0.0007614784296169762,0.920288203767457,0.02002840205506684,0.21838040800673902,0.17281928096481358
ALL,415,-0.0015868398517178259,0.7671826669467838,0.044717585440912866,0.24342937037828283,0.1857267699375017
